frame.number,frame.time_epoch,frame.len,_ws.col.protocol,ipv6.src,ipv6.dst,wpan.fcf,wpan.seq_no,wpan.dst_pan,wpan.src64,wpan.dst64,6lowpan.src,6lowpan.dst,6lowpan.iphc.tf,6lowpan.iphc.nh,6lowpan.iphc.hlim,6lowpan.iphc.sam,6lowpan.iphc.dam
"50","1774872349.627600000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","66","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"51","1774872350.627797000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","67","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"52","1774872351.629828000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","68","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"53","1774872352.630788000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","69","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"54","1774872353.633228000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","70","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"55","1774872354.632779000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","71","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"56","1774872355.633401000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","72","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"57","1774872356.635004000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","73","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"58","1774872357.638952000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","74","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"59","1774872367.606990000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","75","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"60","1774872367.845178000","43","ICMPv6","fe80::d8b2:4c9b:f624:ed2e","ff02::2","0xc841","76","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::2","0x0003","False","0x0003","0x0003","0x0003"
"61","1774872368.607321000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","77","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
